time,garbage_name,confidence,category
2026-05-09 15:59:18,纸巾,0.96,其他垃圾
2026-05-15 10:41:22,food_waste,0.97,"{'code': 200, 'garbage_name': 'food_waste', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-15 10:46:37,food_waste,0.97,"{'code': 200, 'garbage_name': 'food_waste', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-15 10:54:12,food_waste,0.97,"{'code': 200, 'garbage_name': 'food_waste', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-15 11:00:07,food_waste,0.97,其他垃圾
2026-05-15 11:13:17,food_waste,0.97,厨余垃圾
2026-05-15 11:13:21,food_waste,0.97,厨余垃圾
2026-05-15 11:13:23,food_waste,0.97,厨余垃圾
2026-05-15 11:13:24,food_waste,0.97,厨余垃圾
2026-05-22 10:30:02,Carton,0.66,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 10:45:06,Carton,0.66,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 10:46:10,Bottle,0.33,"{'code': 200, 'garbage_name': 'Bottle', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 10:46:13,Bottle,0.33,"{'code': 200, 'garbage_name': 'Bottle', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 10:46:13,Bottle,0.33,"{'code': 200, 'garbage_name': 'Bottle', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 10:46:16,Bottle,0.33,"{'code': 200, 'garbage_name': 'Bottle', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 10:46:16,Bottle,0.33,"{'code': 200, 'garbage_name': 'Bottle', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 10:47:14,Bottle,0.33,"{'code': 200, 'garbage_name': 'Bottle', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 10:48:36,Can,0.92,"{'code': 200, 'garbage_name': 'Can', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 10:49:43,Carton,0.88,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 11:09:15,Carton,0.88,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 11:22:54,Carton,0.88,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 11:25:13,Plastic bag - wrapper,0.93,"{'code': 200, 'garbage_name': 'Plastic bag - wrapper', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 11:38:46,未识别,0.0,"{'code': 200, 'garbage_name': '未识别', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 11:39:05,未识别,0.0,"{'code': 200, 'garbage_name': '未识别', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 11:39:17,Carton,0.88,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 11:42:19,Carton,0.66,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 11:42:25,Carton,0.66,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 11:42:43,未识别,0.0,"{'code': 200, 'garbage_name': '未识别', 'category': '其他垃圾', 'suggestion': '请投放至灰色其他垃圾收集容器。'}"
2026-05-22 11:51:16,Carton,0.66,"{'code': 200, 'garbage_name': 'Carton', 'category': '可回收物', 'suggestion': '请投放至蓝色可回收物收集容器，注意保持清洁干燥。'}"
2026-05-22 12:01:30,Bottle cap,0.92,其他垃圾
2026-05-22 12:01:57,Cup,0.84,其他垃圾
2026-05-22 12:02:29,Lid,0.84,可回收物
2026-05-22 12:03:11,Other litter,0.35,其他垃圾
2026-05-22 12:08:41,Cup,0.52,其他垃圾
2026-05-24 19:28:15,Bottle cap,0.84,其他垃圾
2026-05-24 19:42:13,Bottle cap,0.92,其他垃圾
2026-05-24 19:45:42,food_waste,0.78,厨余垃圾
2026-05-24 19:46:44,Lid,0.84,可回收物
2026-05-24 19:47:41,Lid,0.84,可回收物
2026-05-25 11:16:37,Bottle cap,0.84,其他垃圾
2026-05-25 11:23:10,banana_peel,0.99,厨余垃圾
2026-05-25 11:24:26,food_waste,0.94,厨余垃圾
2026-05-25 11:24:30,food_waste,0.94,厨余垃圾
