epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1126.05,1.5591,4.89425,1.34365,0.32606,0.08395,0.02339,0.01516,1.37973,4.50937,1.29042,0.000133303,0.000133303,0.000133303
2,2261.05,1.51994,4.13184,1.32585,0.23185,0.11189,0.03329,0.02252,1.41121,4.09397,1.3427,0.000265011,0.000265011,0.000265011
3,3415.13,1.5249,3.68106,1.34472,0.09723,0.12791,0.02331,0.01501,1.46512,6.75367,1.40494,0.000390279,0.000390279,0.000390279
4,4518.11,1.51655,3.38085,1.34814,0.09896,0.09938,0.0328,0.02143,1.41649,4.18719,1.34442,0.000378419,0.000378419,0.000378419
5,5622.63,1.47209,3.16491,1.31404,0.18845,0.15348,0.03426,0.0228,1.39233,5.16923,1.32416,0.000362185,0.000362185,0.000362185
6,6722.34,1.46117,3.04515,1.31728,0.20869,0.13178,0.0445,0.0286,1.35952,4.07485,1.30346,0.000342007,0.000342007,0.000342007
7,7829.09,1.41625,2.93673,1.28451,0.1821,0.1928,0.03315,0.02195,1.37442,8.47906,1.34391,0.000318381,0.000318381,0.000318381
8,8936.75,1.39184,2.8503,1.28053,0.25279,0.15352,0.04762,0.03067,1.32735,4.24125,1.29514,0.00029189,0.00029189,0.00029189
9,10040.7,1.37659,2.75529,1.25921,0.22806,0.16005,0.05295,0.03558,1.31766,4.56815,1.29591,0.000263185,0.000263185,0.000263185
10,11137.2,1.36377,2.72389,1.25202,0.21173,0.20008,0.05521,0.03707,1.32342,4.40107,1.28435,0.000232974,0.000232974,0.000232974
11,12244,1.30419,2.50323,1.2064,0.23981,0.15116,0.04959,0.03334,1.3406,5.21196,1.30257,0.000202,0.000202,0.000202
12,13351.9,1.271,2.41832,1.18049,0.22359,0.15432,0.04978,0.033,1.31971,5.7962,1.29583,0.000171026,0.000171026,0.000171026
13,14460.1,1.25227,2.34353,1.16924,0.21993,0.1906,0.05466,0.03705,1.3421,5.1168,1.31921,0.000140815,0.000140815,0.000140815
14,15562.3,1.23668,2.27679,1.15672,0.22337,0.16237,0.05878,0.04116,1.29613,4.29705,1.28239,0.00011211,0.00011211,0.00011211
15,16664.6,1.20672,2.21237,1.14218,0.23754,0.17545,0.05038,0.03531,1.31033,6.50989,1.29181,8.56185e-05,8.56185e-05,8.56185e-05
16,17764,1.19748,2.17493,1.13313,0.27797,0.14029,0.05507,0.03911,1.31252,6.19116,1.28835,6.19929e-05,6.19929e-05,6.19929e-05
17,18864,1.17679,2.1279,1.12472,0.23654,0.16092,0.05076,0.03568,1.31928,5.79618,1.30224,4.18146e-05,4.18146e-05,4.18146e-05
18,19967,1.17567,2.10152,1.11826,0.24764,0.16294,0.05559,0.03971,1.3103,5.18952,1.29234,2.55807e-05,2.55807e-05,2.55807e-05
19,21072.1,1.17258,2.07933,1.11744,0.2496,0.15867,0.05887,0.0422,1.30518,5.70281,1.28473,1.36908e-05,1.36908e-05,1.36908e-05
20,22172.7,1.15868,2.06378,1.1081,0.24337,0.17857,0.05757,0.04102,1.30597,5.61735,1.29025,6.43771e-06,6.43771e-06,6.43771e-06
