epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1134.66,1.59451,5.02585,1.34535,0.37108,0.08444,0.02238,0.0149,1.34337,4.74409,1.28659,7.99816e-05,7.99816e-05,7.99816e-05
2,2271.35,1.49573,4.17227,1.2952,0.28785,0.11044,0.03263,0.02205,1.39001,4.19607,1.2852,0.000159548,0.000159548,0.000159548
3,3406.6,1.46347,3.73207,1.28243,0.2739,0.11494,0.02157,0.01437,1.46395,6.95705,1.4053,0.000237386,0.000237386,0.000237386
4,4545.99,1.4486,3.36277,1.28625,0.1997,0.14848,0.0321,0.02012,1.43774,4.60564,1.32539,0.000312229,0.000312229,0.000312229
5,5688.45,1.45266,3.14058,1.28866,0.13653,0.1391,0.02493,0.01645,1.4254,7.71216,1.33426,0.000382864,0.000382864,0.000382864
6,6831.71,1.42068,2.97682,1.26748,0.07182,0.14273,0.03235,0.01957,1.41464,4.82818,1.3255,0.000373473,0.000373473,0.000373473
7,7981.53,1.39684,2.83169,1.24767,0.18071,0.12574,0.0232,0.01442,1.43802,7.33519,1.36988,0.000362185,0.000362185,0.000362185
8,9138.46,1.37297,2.72941,1.24502,0.08117,0.15644,0.02442,0.01523,1.46241,13.5638,1.39851,0.000349143,0.000349143,0.000349143
9,10301.4,1.34259,2.62133,1.21798,0.15679,0.14773,0.02753,0.01817,1.43058,7.30027,1.3848,0.000334488,0.000334488,0.000334488
10,11468.5,1.31654,2.52889,1.20008,0.16407,0.15748,0.03641,0.0242,1.41011,5.05703,1.32817,0.000318381,0.000318381,0.000318381
11,12640.2,1.29599,2.45854,1.19616,0.17145,0.16705,0.04701,0.03143,1.42057,3.7995,1.35216,0.000301,0.000301,0.000301
12,13849.1,1.27882,2.39357,1.18802,0.21909,0.15243,0.04322,0.02934,1.41332,4.43917,1.33629,0.000282534,0.000282534,0.000282534
13,15084.9,1.26088,2.32227,1.16699,0.20814,0.17936,0.03661,0.02398,1.40268,6.51658,1.35173,0.000263185,0.000263185,0.000263185
14,16260.8,1.25155,2.24504,1.15439,0.22389,0.13082,0.04092,0.02801,1.39376,5.80359,1.33076,0.000243167,0.000243167,0.000243167
15,17448.6,1.21974,2.18174,1.14146,0.21304,0.14022,0.04011,0.02835,1.38149,6.24248,1.34518,0.000222697,0.000222697,0.000222697
16,18633.5,1.19993,2.1178,1.12697,0.22523,0.17506,0.04893,0.03211,1.39078,4.82366,1.34415,0.000202,0.000202,0.000202
17,19824.8,1.1876,2.06075,1.1209,0.23174,0.13499,0.04015,0.02715,1.39707,5.98337,1.37904,0.000181303,0.000181303,0.000181303
18,21019.6,1.16611,1.97259,1.10508,0.2146,0.15183,0.04291,0.02797,1.39716,6.4886,1.36233,0.000160833,0.000160833,0.000160833
19,22228.8,1.15704,1.92931,1.10641,0.21952,0.17196,0.0561,0.03704,1.37499,8.49692,1.33617,0.000140815,0.000140815,0.000140815
20,23421.7,1.14761,1.8883,1.10292,0.22835,0.16028,0.05193,0.03453,1.38709,7.35088,1.35423,0.000121466,0.000121466,0.000121466
21,24625.7,1.11046,1.73249,1.06917,0.22006,0.1473,0.04504,0.0309,1.39613,6.40391,1.36849,0.000103,0.000103,0.000103
22,25840.1,1.09616,1.69376,1.07192,0.22363,0.14811,0.04939,0.03199,1.3912,5.88061,1.37787,8.56185e-05,8.56185e-05,8.56185e-05
23,27057.1,1.07962,1.65298,1.05233,0.17321,0.16664,0.0477,0.03199,1.39078,6.1198,1.38867,6.95121e-05,6.95121e-05,6.95121e-05
24,28277.3,1.06994,1.60073,1.05114,0.22475,0.15007,0.04758,0.0322,1.39676,5.74128,1.37931,5.48573e-05,5.48573e-05,5.48573e-05
25,29510.1,1.06107,1.56096,1.04121,0.24485,0.14253,0.04417,0.02972,1.40584,5.9183,1.39618,4.18146e-05,4.18146e-05,4.18146e-05
26,30741.4,1.05415,1.54173,1.04514,0.24057,0.15001,0.04282,0.02948,1.39858,5.90273,1.38031,3.0527e-05,3.0527e-05,3.0527e-05
27,31993.2,1.04517,1.53073,1.0389,0.18907,0.15461,0.04135,0.0289,1.40568,6.24719,1.39564,2.1118e-05,2.1118e-05,2.1118e-05
28,33255.2,1.03992,1.51255,1.0365,0.18388,0.15373,0.04134,0.02874,1.38852,6.0901,1.37898,1.36908e-05,1.36908e-05,1.36908e-05
29,34496,1.0376,1.49471,1.03926,0.18315,0.15488,0.04076,0.0285,1.39418,5.96331,1.38381,8.32678e-06,8.32678e-06,8.32678e-06
