epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,929.391,1.40043,4.10616,1.24913,0.26506,0.1501,0.05847,0.03956,1.27706,3.78681,1.17612,0.00015109,0.00015109,0.00015109
2,1851.71,1.39845,3.36324,1.24089,0.1975,0.16981,0.06864,0.04459,1.28012,3.64949,1.18193,0.000292766,0.000292766,0.000292766
3,2766.83,1.38802,3.12771,1.21972,0.18213,0.1727,0.08206,0.05354,1.34222,3.50638,1.22608,0.000424431,0.000424431,0.000424431
4,3676.18,1.36958,2.93033,1.21231,0.27608,0.19217,0.11752,0.078,1.32411,3.06038,1.19706,0.000409955,0.000409955,0.000409955
5,4590.82,1.34774,2.73604,1.20593,0.24277,0.20964,0.12268,0.08182,1.26949,2.95777,1.18172,0.00039494,0.00039494,0.00039494
6,5498.55,1.32816,2.61343,1.19661,0.26335,0.21306,0.14369,0.09795,1.2619,2.78631,1.17844,0.000379925,0.000379925,0.000379925
7,6403.82,1.30954,2.48133,1.1817,0.25192,0.22821,0.14624,0.10233,1.24217,2.7183,1.1535,0.00036491,0.00036491,0.00036491
8,7312.35,1.30253,2.38245,1.17683,0.32376,0.23382,0.16695,0.1163,1.25725,2.67295,1.16769,0.000349895,0.000349895,0.000349895
9,8219.08,1.2879,2.26631,1.16095,0.30073,0.23602,0.17347,0.12015,1.24531,2.61806,1.15673,0.00033488,0.00033488,0.00033488
10,9135.29,1.27301,2.19565,1.15232,0.32944,0.22295,0.17943,0.12836,1.22772,2.59364,1.15808,0.000319865,0.000319865,0.000319865
11,10038.6,1.2433,2.11518,1.14829,0.34102,0.25658,0.20229,0.14496,1.19908,2.43078,1.14017,0.00030485,0.00030485,0.00030485
12,10938,1.22347,1.99932,1.13105,0.32091,0.28104,0.21248,0.15333,1.20641,2.38703,1.14422,0.000289835,0.000289835,0.000289835
13,11821.4,1.21845,1.94997,1.1231,0.3408,0.26811,0.22311,0.16221,1.20113,2.36879,1.13242,0.00027482,0.00027482,0.00027482
14,12681.1,1.20364,1.87621,1.11542,0.32171,0.2727,0.21193,0.15435,1.19464,2.4029,1.13295,0.000259805,0.000259805,0.000259805
15,13549.4,1.18575,1.7898,1.10888,0.34302,0.28583,0.21828,0.1572,1.19304,2.38062,1.13159,0.00024479,0.00024479,0.00024479
16,14406.2,1.17775,1.71617,1.10729,0.3627,0.28525,0.23351,0.1695,1.18784,2.34411,1.13478,0.000229775,0.000229775,0.000229775
17,15266.1,1.16662,1.66332,1.09751,0.36737,0.27525,0.24143,0.17442,1.20083,2.30668,1.12847,0.00021476,0.00021476,0.00021476
18,16146.5,1.15501,1.63108,1.08686,0.40175,0.29056,0.25247,0.18645,1.17473,2.24665,1.11587,0.000199745,0.000199745,0.000199745
19,17008.5,1.12678,1.54132,1.07973,0.45612,0.28744,0.2708,0.20118,1.15151,2.27077,1.10653,0.00018473,0.00018473,0.00018473
20,17868.7,1.13239,1.51208,1.08444,0.43874,0.27993,0.27621,0.20482,1.16674,2.19996,1.11019,0.000169715,0.000169715,0.000169715
21,18724.7,1.0741,1.40886,1.03555,0.42518,0.2906,0.28018,0.20951,1.15908,2.2201,1.11591,0.0001547,0.0001547,0.0001547
22,19568.8,1.06032,1.33646,1.03077,0.45027,0.30116,0.29717,0.22243,1.14926,2.17229,1.10394,0.000139685,0.000139685,0.000139685
23,20414.9,1.04571,1.26089,1.02001,0.43404,0.31036,0.30344,0.22777,1.14597,2.17034,1.10605,0.00012467,0.00012467,0.00012467
24,21259.3,1.03045,1.21151,1.01204,0.4482,0.32058,0.30904,0.23184,1.1493,2.16993,1.1059,0.000109655,0.000109655,0.000109655
25,22108.9,1.0163,1.16491,1.01027,0.47231,0.30665,0.30882,0.23233,1.14723,2.15756,1.10263,9.464e-05,9.464e-05,9.464e-05
26,25551.9,1.00885,1.11942,0.99542,0.44273,0.32106,0.31512,0.2377,1.1338,2.13942,1.09698,7.9625e-05,7.9625e-05,7.9625e-05
27,26399.9,0.99543,1.08648,0.99437,0.47449,0.32234,0.32551,0.24702,1.11954,2.12026,1.09124,6.461e-05,6.461e-05,6.461e-05
28,27245.1,0.97927,1.05033,0.97947,0.43268,0.33853,0.32659,0.24563,1.13732,2.12484,1.09301,4.9595e-05,4.9595e-05,4.9595e-05
29,28091.6,0.97845,1.03086,0.9853,0.48347,0.32994,0.33218,0.25157,1.13076,2.10014,1.09335,3.458e-05,3.458e-05,3.458e-05
30,28928.8,0.97097,1.0085,0.97859,0.48112,0.33812,0.33503,0.25419,1.121,2.09057,1.08899,1.9565e-05,1.9565e-05,1.9565e-05
